,RMSE_A_44,RMSE_DREN_8,RMSE_D34_8,RMSE_EH2_3,RMSE_EH2_6,RMSE_E_44,RMSE_HULD_586,RMSE_P_17,RMSE_VALTHE_N5,RMSE_VALTHE_A11,Mean,Models
Topp (Eq. 3),6.85,9.24,2.2,12.68,6.15,4.1,6.58,0.8,1.81,1.59,5.2,Topp (Eq. 3)
Jac-SchjA (Eq. 4),4.85,8.19,3.29,11.2,4.52,3.18,4.8,2.48,3.65,3.41,4.96,Jac-SchjA (Eq. 4)
HydraProbe (Eq. 25),4.82,7.76,3.62,10.96,4.35,2.73,4.65,2.17,3.61,3.43,4.81,HydraProbe (Eq. 25)
Nadler (Eq. A1),5.88,8.42,3.49,9.84,5.04,5.19,5.42,6.88,7.16,7.36,6.47,Nadler (Eq. A1)
Jac-SchjB (Eq. A2),4.12,8.18,4.94,12.3,3.77,3.11,3.92,3.27,5.36,5.11,5.41,Jac-SchjB (Eq. A2)
Malicki (Eq. A3),7.43,8.39,3.29,13.56,5.78,3.83,6.04,1.15,2.38,1.98,5.38,Malicki (Eq. A3)
Steel-Endr (Eq. A4),9.74,11.1,0.66,14.95,8.51,5.98,9.12,2.16,1.43,1.95,6.56,Steel-Endr (Eq. A4)
Logsdon (Eq. A5),4.66,8.28,3.87,10.72,4.38,3.83,4.59,4.12,4.61,4.53,5.36,Logsdon (Eq. A5)
CRIM (Eq. 6),8.32,9.55,1.59,13.99,7.25,4.65,7.42,1.05,1.15,1.12,5.61,CRIM (Eq. 6)
Linde (Eq. 8),9.66,10.83,0.88,15.31,8.3,5.93,8.56,2.04,0.99,1.09,6.36,Linde (Eq. 8)
Wunderlich (Eq. 10),3.09,6.09,5.5,9.46,2.67,2.19,2.85,3.67,5.83,5.66,4.7,Wunderlich (Eq. 10)
Endr-Redm (Eq. 12),7.06,9.01,2.17,13.01,6.37,4.04,6.53,0.88,1.92,1.65,5.27,Endr-Redm (Eq. 12)
Peplinski (Eq. A6),7.9,6.29,10.87,12.48,2.24,1.75,6.88,2.78,11.18,11.12,7.35,Peplinski (Eq. A6)
Sen (Eq. A9),6.38,7.13,4.2,12.46,4.52,2.71,4.82,1.86,3.49,3.19,5.08,Sen (Eq. A9)
Feng-Sen (Eq. A11),8.08,10.19,1.62,26.33,7.41,5.26,7.46,1.82,1.4,0.93,7.05,Feng-Sen (Eq. A11)
LR (Eq. 5),1.17,2.05,0.17,1.05,0.89,1.46,0.89,0.55,0.97,1.1,1.03,LR (Eq. 5)
Linde (Eq. 7),1.17,2.02,0.31,1.0,0.9,1.54,0.9,0.65,0.92,0.98,1.04,Linde (Eq. 7)
Wunderlich (Eq. 9),1.15,1.17,0.25,0.89,0.95,0.63,0.88,0.41,0.93,0.97,0.82,Wunderlich (Eq. 9)
Endr-Redm (Eq. 11),1.4,2.18,0.28,3.68,1.11,1.81,1.03,0.88,1.08,1.11,1.46,Endr-Redm (Eq. 11)
Dobson (Eq. A7),1.65,1.47,2.16,2.56,9.67,0.9,1.49,1.25,1.69,1.13,2.4,Dobson (Eq. A7)
Sen (Eq. A8),1.27,2.51,0.36,4.44,0.84,1.63,0.91,0.97,0.69,0.81,1.44,Sen (Eq. A8)
Feng-Sen (Eq. A10),2.29,3.3,0.84,5.4,1.89,2.9,2.16,1.71,1.09,0.85,2.24,Feng-Sen (Eq. A10)
LR (Eq. 36),1.62,2.13,0.83,2.01,2.36,2.29,1.65,0.63,1.05,1.42,1.6,LR (Eq. 36)
Linde (Eq. 37),2.29,2.19,0.97,1.05,2.04,1.82,2.42,0.77,0.92,1.08,1.56,Linde (Eq. 37)
Wunderlich (Eq. 38),3.87,3.78,1.12,6.33,1.56,2.24,3.96,0.85,0.97,1.21,2.59,Wunderlich (Eq. 38)
Endr-Redm (Eq. 39),1.83,2.23,0.8,3.56,1.8,2.31,1.86,0.89,1.1,1.3,1.77,Endr-Redm (Eq. 39)
Sen (Eq. 40),3.11,2.48,1.52,4.44,1.11,1.78,2.53,0.99,0.71,1.04,1.97,Sen (Eq. 40)
Feng-Sen (Eq. 41),2.69,3.52,1.05,4.95,2.04,3.06,2.69,1.75,1.17,1.14,2.4,Feng-Sen (Eq. 41)
