,x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,Unnamed: 0,x_clhs,y_clhs,z,t,name,depth,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm
2647,107720.422,183327.165,26.201,33302.5,0.002980847,0.003123477,0.000545345,0.000792917,0.000168409,0.000142565,1.460007489,0.233115632,2.463620533,0.064648215,1.845164763,-5.774020275,5166,107720.118,183326.96,26.1909152,40954.67,1,10,6.6,15.16,22.84,42.132,35.028,19.3,3.9,1.617,0.27619,22,25.9,21.7,18.4
9662,107755.083,183330.802,26.8553312,34836.56,0.001538629,0.001414996,0.000519714,0.000502037,0.000175211,0.000148286,1.451820413,0.259031095,2.570249069,0.09191943,2.3162782,-5.659096945,19244,107755.589,183331.1,26.8951584,42473.18,2,10,6.36,6.33,10.27,50.16,39.569,12.2,2.4,1.698,0.25845,14,23.3,16.8,7.5
11087,107797.24,183278.473,27.9487712,35121.56,0.006310485,0.004189612,0.001598737,0.001537736,0.000277794,0.000459943,1.541278204,0.307598696,3.159825525,0.23412691,5.095232791,-4.784309417,22350,107797.402,183278.579,28.4706568,42812.37,3,10,6.6,9.75,14.066,45.87,40.063,17.2,3.4,1.529,0.27,1,25.6,19.5,12.8
9694,107763.627,183318.268,27.2089568,34842.93,0.000772866,0.000874463,0.000412421,0.000257145,0.000194627,0.00012554,1.471820413,0.259031095,2.560249069,0.141914203,2.636222065,-5.499135116,19352,107763.816,183318.112,27.3446688,42491.37,4,10,6.33,5.8,11.237,47.195,41.568,12.8,2.6,1.636,0.26113,13,24.2,14.0,5.6
789,107722.801,183309.348,26.679,32930.91,0.003628742,0.003888099,0.000545835,0.000936779,0.000168783,0.00017979,1.502608571,0.298101094,2.985024166,0.090975706,2.136324404,-6.67422042,1556,107723.005,183309.182,26.586,40592.63,5,10,6.6,16.57,26.081,39.904,34.015,23.0,4.6,1.524,0.28979,9,24.2,20.3,16.8
7232,107742.964,183330.078,26.55,34219.71,0.001886274,0.001719562,0.000488448,0.000524158,0.000175903,0.000135621,1.459563828,0.239156536,2.657598414,0.090489783,2.987047839,-5.139446351,14669,107742.651,183330.207,26.664,41906.95,6,10,6.5,9.941,15.97,45.215,38.815,16.8,3.4,1.626,0.30258,16,24.6,23.8,15.5
11576,107805.582,183274.029,28.65,35219.35,0.006515042,0.003785414,0.00175978,0.001533685,0.000292845,0.000464068,1.522807663,0.358971001,3.372146986,0.217391051,6.101502128,-5.833641476,23383,107805.822,183273.987,28.65,42915.67,7,10,6.56,9.868,15.173,44.224,40.602,17.8,3.6,1.643,0.23186,2,26.2,15.0,9.4
7909,107758.569,183312.798,27.35,34485.9,0.001158334,0.001169132,0.000462501,0.000379428,0.000194122,0.000156824,1.475563333,0.275872708,2.686491611,0.137416959,2.778026691,-5.287778565,15706,107758.685,183312.601,27.35,42107.27,8,10,7.23,6.785,12.324,45.037,42.639,15.5,3.1,1.602,0.25825,405,21.9,16.7,8.8
11008,107776.575,183310.642,26.9900192,35105.74,0.003380486,0.002008791,0.000996457,0.000841031,0.000227769,0.000278477,1.500919496,0.257525704,2.854231743,0.153374499,3.428801907,-5.798801407,22198,107776.692,183310.756,27.5510368,42797.16,9,10,6.56,6.147,11.631,49.871,38.498,12.5,2.5,1.575,0.25897,11,23.9,16.3,7.3
2627,107726.042,183318.485,26.6481,33298.53,0.004525772,0.004375727,0.000733495,0.001165576,0.000174871,0.00021127,1.469836089,0.252816824,2.683451131,0.0846615,1.815164763,-5.754313033,5128,107726.371,183318.719,26.563,40950.86,10,10,6.56,15.774,25.914,38.833,35.253,25.9,5.2,1.635,0.27443,24,23.3,20.8,18.1
