EH2_6_w,A_44_w,VALTHE_N5_w,EH2_3_w,P_17_w,DREN_8_w,E_44_w,D34_8_w,HULD_586_w,VALTHE_A11_w,EH2_6_p,A_44_p,VALTHE_N5_p,EH2_3_p,P_17_p,DREN_8_p,E_44_p,D34_8_p,HULD_586_p,VALTHE_A11_p,EH2_6_t,A_44_t,VALTHE_N5_t,EH2_3_t,P_17_t,DREN_8_t,E_44_t,D34_8_t,HULD_586_t,VALTHE_A11_t
0.394844936,0.449688445,0.353308129,0.444507532,0.401432279,0.381420183,0.359279588,0.289381551,0.39417405,0.393407008,33.851,33.7,20.8,46.4,24.005,31.2,25.983,12.005,30.4,22.3,21.7,23.5,18.9,22.1,23.7,21.7,23.7,21.7,20.9,20.7
0.374201234,0.410186706,0.348974915,0.423674198,0.38034137,0.340881294,0.344188679,0.27040007,0.356980432,0.34709929,31.072,33.1,18.2,41.1,22.231,30.3,23.428,10.986,29.5,20.5,21.9,21.9,17.5,20.3,21.7,21.9,22.1,21.5,21.9,17.9
0.341423457,0.361538048,0.319045504,0.388211235,0.312159552,0.31930722,0.293552316,0.234751922,0.316184905,0.335000878,28.005,31.1,16.3,39.6,17.221,26.7,19.961,9.788,26.6,18.9,20.1,21.9,20.9,22.6,22.4,20.3,22.6,20.3,25.1,22.6
0.327812346,0.348586658,0.304030412,0.359229754,0.300705007,0.278583146,0.28509777,0.217159329,0.302247086,0.312055612,26.714,30.1,13.7,36,15.932,24.7,19.536,8.845,25.9,17,20.5,24.4,18,20.3,24.4,23,24.7,20.5,24.4,18.4
0.299108642,0.333935398,0.282968975,0.326914939,0.255977734,0.261083146,0.252279588,0.187344514,0.283924335,0.297287205,23.993,28.7,12.3,35.5,13.139,23.4,17.66,7.468,23.88,14.2,20.1,24.2,23,21.7,22.6,20.5,23,20.1,21.3,19.7
0.268182716,0.298400022,0.259892089,0.310433458,0.235632279,0.234988701,0.239461407,0.149659329,0.252446789,0.278597243,20.21,24.458,11,33.1,12.447,23.2,17.087,6.556,22.419,13.4,20.3,21.1,18.4,20.1,23.9,22.4,24.2,20.5,23.7,20.3
0.231145679,0.279053884,0.237822928,0.285618643,0.183650461,0.220822035,0.201469811,0.096325996,0.239683505,0.263244774,18.096,22.78,10.9,31.6,10.242,21.3,15.242,4.76,19.475,11.7,20.7,23.5,19.9,22.1,24.5,20.1,24.7,20.5,20.9,19.3
0.193367901,0.244489862,0.224117878,0.274507532,0.138395916,0.200283146,0.166569125,0.051140811,0.206718214,0.244721687,16.281,19.5,9.8,30,8.141,20.8,13.571,3.481,17.2,11.3,20.1,20.7,22.8,19.7,26.4,22.6,26.2,20.3,20.7,18.4
0.17588642,0.207416509,0.199025543,0.251174198,0.085323188,0.190005368,0.112767753,0.032992662,0.173909528,0.233541085,14.845,17.4,9.1,29.5,6.09,20.5,10.707,2.925,15.9,10.4,18.6,20.5,19.1,25.6,23,19.7,23.3,18.6,19.9,20.3
0.171090123,0.187179962,0.180684962,0.233951976,0.077977734,0.173170183,0.104957976,0.016418588,0.143293308,0.21651987,14.95,16.2,8.5,27.943,6.004,20.2,10.511,2.788,12,9.5,20.7,19.5,18.6,21.5,24.7,25,24.7,19.7,21.3,20.3
0.153145679,0.173500056,0.169297677,0.211266791,0.067995916,0.159466479,0.091511835,0.011974144,0.096938314,0.195743975,14.075,15.9,7.7,25.81,5.471,19.012,9.517,2.614,10,8.3,19.5,23.5,19.3,19.7,22.6,22.1,22.4,20.1,23.9,18.9
0.138349383,0.130841416,0.132818059,0.182100124,0.058650461,0.142909072,0.080792967,,0.064286233,0.165205912,12.894,13.3,5.8,23.602,5.011,17.5,8.959,,8.1,6.6,19.7,21.3,21.3,19.1,21.3,19.7,21.3,,23.7,21.1
0.121608642,0.089801699,0.07185074,0.162933458,0.049305007,0.121814627,0.069255918,,0.042831388,0.122736312,11.975,10.2,5,23.014,4.758,16.101,8.246,,5.8,6.3,21.1,23.7,20.1,21.1,23.7,19.1,23.7,,20.7,19.3
0.114034568,0.051028476,0.057541056,0.14265568,0.042595916,0.110610924,0.06153705,,0.030833333,0.112223208,10.845,7.1,4,20.819,4.43,15.434,8.095,,5,5,22.4,23.5,19.7,21,25.1,21.3,25.1,,20.7,21.7
0.083312345,0.026333333,0.025495424,0.128951976,0.034977734,0.09775722,0.049,,,0.081101084,8.972,4.7,3.7,19.706,4.039,13.911,6.928,,,4.2,20.5,20.5,20.9,21.1,21.9,21,21.9,,,20.7
0.076016049,,0.020188679,0.112081606,,0.090534998,,,,0.052064894,8.586,,2.8,18.094,,13.779,,,,3.1,21.3,,18.8,21.3,,21.7,,,,20.7
0.075664197,,,0.101137161,,0.083792405,,,,0.028571429,8.39,,,16.245,,12.574,,,,3.1,21.7,,21.1,21.9,,21.7,,,,20.7
0.060497531,,,0.072507532,,0.077773886,,,,,7.724,,,13.753,,11.834,,,,,21.9,,20,21.5,,22.4,,,,20.7
,,,0.064711235,,0.066864627,,,,,,,,12.338,,10.893,,,,,,,,20.9,,21.9,,,,
,,,0.059044569,,,,,,,,,,11.637,,,,,,,,,,20.9,,,,,,
,,,0.056711235,,,,,,,,,,10.959,,,,,,,,,,20.5,,,,,,
,,,0.053914939,,,,,,,,,,10.606,,,,,,,,,,21.3,,,,,,
,,,0.049174198,,,,,,,,,,10.112,,,,,,,,,,22.4,,,,,,
,,,0.047489013,,,,,,,,,,9.666,,,,,,,,,,22.4,,,,,,
,,,0.044785309,,,,,,,,,,8.99,,,,,,,,,,19.5,,,,,,
