SAMPLE,Site,depth,Bulk_density,field_water,field_realperm,field_imperm,field_temp,Humus,pH_eau,CEC_meq100g,Clay,Silt_fine,Silt_coarse,Silt,Sand_finr,Sand_coarse,Sand,perm_solid_105,perm_solid,bound_water
D34_15,D34,17,1.357114269,20.92,12.5,1.6,23.7,5.104000092,5.420000076,2.071,3.031,1.895,5.684,7.578,48.090,41.300,89.391,3.430,3.498,0.54533
D34_9,D34,28,1.544716262,15.72,13.9,2.3,23,0.885999978,5.929999828,1.600,2.853,0.000,1.070,1.070,39.752,56.326,96.078,3.484,3.469,0.09826
D34_8,D34,41,1.818866787,12.33,4.1,0.2,25.1,0.418000013,5.570000172,1.600,2.521,0.000,0.360,0.360,52.723,44.396,97.119,3.335,3.339,0.15773
D34_24,D34,56,1.446152301,12.09,5.5,0.3,23.3,1.157999992,5.309999943,1.600,2.930,0.366,2.197,2.563,52.102,42.405,94.507,3.430,3.450,0.31846
D34_37,D34,81,1.812365866,6.11,6.7,0.6,25.1,1.738000035,5.239999771,1.600,2.593,0.741,0.741,1.482,46.577,49.348,95.925,3.500,3.313,0.59377
D34_13,D34,97,1.675131526,12,5.9,0.2,26.2,0.261999995,5.659999847,1.600,3.646,0.729,2.917,3.646,75.791,16.917,92.708,3.431,3.396,0.29037
VALTHE_N1,VALTHE,10,1.429073739,4.79,3,0.4,20.3,2.190000057,5.03000021,1.600,4.003,1.820,2.911,4.731,58.195,33.071,91.266,3.564,3.511,0.49829
VALTHE_N5,VALTHE,25,1.579683512,5.28,3.4,0.2,20.5,0.244000003,5.889999866,1.600,3.238,-0.360,2.518,2.159,59.519,35.084,94.604,3.465,3.467,0.22971
VALTHE_A12,VALTHE,25,1.675355925,8.47,3.2,0.2,19.7,0.551999986,5.929999828,1.600,3.574,0.715,1.787,2.502,56.834,37.089,93.923,3.348,3.487,0.20152
VALTHE_A11,VALTHE,45,1.556304237,5.08,4,0.2,19.7,0.333999991,6.159999847,1.600,3.592,1.078,1.437,2.515,61.201,32.691,93.893,3.459,3.496,0.20214
VALTHE_A18,VALTHE,60,1.746942049,11.4,4.6,0.2,19.7,0.328000009,6.25,1.600,3.963,1.081,3.242,4.323,62.695,29.020,91.715,3.378,3.342,0.23862
VALTHE_N7,VALTHE,60,1.633336845,8.47,4.7,0.2,20.3,0.059999999,6.239999771,1.600,2.906,1.090,5.448,6.538,63.170,27.386,90.556,3.429,3.622,0.14962
P_16,P,32,1.589,20.63,12,3.7,22.8,2.036000013,6.369999886,4.149,9.843,9.843,29.149,38.992,45.700,5.466,51.166,3.683,3.793,0.78193
P_17,P,59,1.584,19.18,12.6,3.3,21.9,0.967999995,6.03000021,2.425,10.980,11.737,31.425,43.162,41.209,4.649,45.858,3.812,3.633,0.69699
P_21,P,78,1.52,24.85,17.5,4.3,21.7,0.731999993,5.610000134,1.600,11.258,12.384,34.149,46.533,37.856,4.353,42.210,3.578,3.777,0.55371
P_22,P,93,1.512,26.72,16,3.5,21.5,0.614000022,5.710000038,2.426,10.158,12.039,34.612,46.652,38.796,4.394,43.190,3.679,3.705,0.67878
P_42,P,110,1.649,26.05,14.3,3.6,21.5,0.275999993,5.699999809,1.600,7.897,12.034,33.093,45.126,42.344,4.633,46.977,3.645,3.519,0.33961
P_44,P,123,1.65,23,18.1,7.3,21.7,0.115999997,6.090000153,2.975,10.750,2.966,13.345,16.311,67.482,5.457,72.939,3.672,3.602,0.35689
P_48,P,144,1.77,26.1,13.8,3.9,22.6,0.016000001,5.900000095,2.405,7.734,2.210,10.312,12.522,74.573,5.171,79.744,3.651,3.732,0.29832
E_16,E,20,1.610364837,36.12,25.3,24.6,30.7,2.585999966,8.369999886,12.502,20.935,21.353,25.540,46.893,31.871,0.301,32.172,3.902,3.879,0.67451
E_44,E,35,1.601484181,37.32,30.8,35.6,28.9,1.011999965,8.5,9.610,23.233,15.765,25.722,41.487,35.264,0.017,35.280,3.845,3.762,0.67199
E_47,E,62,1.613046371,35.28,27.2,27.7,27.8,0.85799998,8.600000381,9.200,22.466,16.226,25.795,42.020,35.297,0.216,35.513,4.104,3.939,0.51052
E_48,E,90,1.553677054,41.1,31.8,32.3,26.7,1.241999984,8.5,11.937,25.445,21.628,28.414,50.042,24.427,0.085,24.512,4.081,3.643,0.74617
E_49,E,113,1.538066676,38.5,28.6,28.4,25.9,1.031999946,8.5,9.943,20.532,16.015,27.924,43.939,34.478,1.051,35.529,3.776,3.590,0.63344
HULD_588,HULD,13.6,1.494,34.95,23.494,9.943,11,1.738000035,7.570000172,8.383,12.142,23.108,56.008,79.116,7.504,1.238,8.742,3.965,3.734,0.55609
HULD_591,HULD,30.6,1.605,33.93,22.95,11.086,11,0.60799998,7.710000038,8.252,16.332,30.331,48.997,79.328,4.246,0.093,4.340,3.760,3.652,0.58166
HULD_590,HULD,38.4,1.668,33.88,23.586,14.599,11.1,0.43599999,7.840000153,11.233,14.708,24.136,53.930,78.066,6.517,0.709,7.226,3.988,3.629,0.73207
HULD_586,HULD,67.4,1.598,33.69,25.891,16.493,11.9,2.941999912,7.25,9.232,11.029,25.997,55.538,81.535,6.428,1.008,7.437,4.090,3.736,0.75295
S_21,S,28,1.513035848,21.33,14.1,4.6,31.1,1.981999993,6.889999866,4.679,7.481,3.366,6.358,9.725,74.342,8.453,82.795,3.520,3.412,0.73957
S_17,S,48,1.754833973,27.34,16.4,7.7,29.6,1.366000056,7.130000114,4.107,6.651,3.695,5.173,8.868,75.643,8.838,84.481,3.542,3.614,0.57008
S_23,S,64,1.707957203,24.24,16.7,10.9,28.6,0.268000007,7.170000076,3.788,5.083,2.541,1.452,3.994,80.685,10.238,90.924,3.493,3.537,0.31895
S_49,S,111,1.699551696,33.33,18.3,10.3,25.4,0.034000002,7.099999905,2.419,6.120,1.080,0.000,1.080,82.750,10.050,92.801,3.546,3.446,0.31984
S_42,S,130,1.635220602,33.54,24.7,14.2,24.2,-0.016000001,7.21999979,2.262,5.694,0.000,1.068,1.068,83.260,9.979,93.238,3.433,3.517,0.27744
DREN_10,DREN,72,1.728042964,25.5,19,20.5,24.4,1.626000047,7.920000076,22.890,37.131,23.700,15.010,38.711,14.252,9.907,24.159,4.162,3.864,1.56870
DREN_8,DREN,110,1.703795472,24.99,20.9,22,22.4,0.796000004,8.140000343,21.699,33.046,18.445,14.986,33.431,20.458,13.065,33.523,4.312,3.804,1.31602
DREN_49,DREN,137,1.649335064,28.4,27.8,30.8,19.1,0.579999983,8.170000076,19.975,27.519,18.992,18.217,37.209,23.333,11.938,35.271,4.516,3.892,1.35960
DREN_47,DREN,180,1.6888513,36.27,31.4,36.5,19.1,0.867999971,8.149999619,23.817,38.327,25.804,17.456,43.260,13.783,4.630,18.412,4.583,3.709,1.66049
DREN_6,DREN,253,1.687466366,38.68,32.1,39.6,19.3,0.85799998,8.140000343,25.036,38.844,26.414,14.761,41.175,13.331,6.650,19.981,4.451,3.847,1.73258
A_47,A,5,1.455764037,32.28,19.4,5.7,25.4,2.34800005,6.46999979,6.862,8.772,20.734,55.423,76.156,14.131,0.941,15.072,3.736,3.699,0.89213
A_17,A,26,1.463519323,30.46,16.1,4.8,24.2,2.049999952,6.159999847,5.680,9.525,20.638,53.977,74.615,14.574,1.286,15.860,4.005,3.753,0.86556
A_49,A,51,1.477774872,29.92,18.8,6.9,23.32,1.470000029,6.349999905,6.005,10.301,21.791,53.090,74.881,13.645,1.173,14.818,3.703,3.532,0.77158
A_44,A,68,1.446999511,32.15,24,14.4,22.8,0.444000006,6.619999886,8.763,11.034,27.979,52.018,79.997,8.748,0.221,8.969,3.914,3.791,0.88114
A_48,A,106,1.626441341,36.9,27.2,17.8,23,0.156000003,6.860000134,8.603,12.616,21.290,54.014,75.304,11.828,0.252,12.080,4.168,3.814,0.61649
EH2_1,EH2,20,1.195912992,48.26,35.4,35.9,11.3,5.699999809,7.840000153,39.483,52.891,21.597,15.867,37.465,7.599,2.045,9.644,4.751,4.073,1.74300
EH2_3,EH2,48,1.408691554,40.85,38.9,48.2,12.4,1.669999957,8.300000191,32.479,38.512,17.207,29.499,46.706,12.422,2.360,14.782,4.379,3.713,1.59033
EH2_7,EH2,65,1.455126581,44.65,38.1,50.8,12.7,0.634000003,8.520000458,30.812,32.340,18.421,36.843,55.264,9.203,3.193,12.396,4.362,3.755,1.09398
EH2_6,EH2,86,1.592167844,41.98,39.8,49.4,13.1,0.31400001,8.699999809,16.007,16.967,8.286,20.912,29.198,41.604,12.232,53.835,3.873,3.482,0.42896
EH2_5,EH2,95,1.775403686,37.27,37.8,36.3,13,0.034000002,8.649999619,8.684,9.971,6.136,19.175,25.311,53.106,11.612,64.719,3.601,3.809,0.38414
HOEKE_8,HOEKE,28,1.645528882,32.85,28.8,27.4,19.7,2.809999943,8.289999962,13.855,21.728,13.207,28.119,41.326,34.680,2.267,36.946,4.162,3.939,0.44490
HOEKE_2,HOEKE,38,1.689182566,25.75,27.4,24.4,19.9,0.808000028,8.579999924,12.630,25.550,15.872,31.744,47.615,26.618,0.217,26.835,4.063,3.904,0.62245
HOEKE_47,HOEKE,63,1.551989885,39.09,28.8,26.8,19.3,0.850000024,8.569999695,14.485,28.995,17.698,30.502,48.200,22.759,0.045,22.805,4.151,3.922,0.93878
HOEKE_49,HOEKE,107,1.628706655,34.92,27.5,23.4,18.2,0.675999999,8.609999657,9.498,16.878,12.350,29.228,41.577,41.512,0.033,41.545,4.144,3.789,0.69184
HOEKE_10,HOEKE,154,1.645657248,37.7,28,21.9,17.5,0.560000002,8.520000458,8.396,16.041,11.517,28.792,40.309,43.633,0.016,43.649,4.078,3.761,0.52653
HOEKE_3,HOEKE,155,1.792090393,26.71,19.2,15.4,16.3,0.611999989,8.520000458,7.937,16.102,10.322,28.489,38.811,45.087,0.000,45.087,3.933,3.671,0.72347
HOEKE_23,HOEKE,180,1.428976016,40.62,31.3,22.4,16.5,0.5,8.5,9.251,18.817,12.673,33.026,45.699,35.392,0.092,35.484,3.836,3.988,0.59082
