,x,y,EC_0.40,EC_0.80,EC_end,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,Unnamed: 0,x_clhs,y_clhs,z.1,t.1,name,depth,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_dc_hp_t,water_ec_hp,water_ec_hp_t,iperm_water_t,HCP0.5_DC,HCP0.5_DC_t,PRP0.6_DC,PRP0.6_DC_t,HCP1.0_DC,HCP1.0_DC_t,PRP1.1_DC,PRP1.1_DC_t,HCP2.0_DC,HCP2.0_DC_t,PRP2.1_DC,PRP2.1_DC_t
0,107720.422,183327.165,0.004345693701285898,0.0006606259098655849,-0.0009665485859047372,26.201,33302.5,0.002980847,0.003123477,0.000545345,0.000792917,0.000168409,0.000142565,5166,107720.118,183326.96,26.1909152,40954.67,1,10,6.6,15.16,22.84,42.132,35.028,19.3,3.9,1.617,0.27619,22,25.9,21.7,18.4,0.031327621669965396,0.01283,0.012588833933515628,0.1415937702597306,0.13904059414391473,49.98538164380796,0.00261,0.002560939716794684,0.00274,0.0026884961011561046,0.00043,0.0004219172713493157,0.00064,0.000627969892240842,0.0001,9.812029566263157e-05,9e-05,8.83082660963684e-05
1,107755.083,183330.802,0.0021370632848871445,0.0005001631965760404,-0.0002829041563918339,26.8553312,34836.56,0.001538629,0.001414996,0.000519714,0.000502037,0.000175211,0.000148286,19244,107755.589,183331.1,26.8951584,42473.18,2,10,6.36,6.33,10.27,50.16,39.569,12.2,2.4,1.698,0.25845,14,23.3,16.8,7.5,0.01703016528782021,0.00409,0.004235579097989051,0.10643853304887631,0.11022311654079167,39.625438744592174,0.0013,0.0013462720849353952,0.00119,0.0012323567546716312,0.0004,0.0004142375645955062,0.00039,0.00040388162548061856,0.0001,0.00010355939114887656,9e-05,9.32034520339889e-05
2,107797.24,183278.473,0.0074294473677364884,0.0017773595166572936,-0.001169214555932497,27.9487712,35121.56,0.006310485,0.004189612,0.001598737,0.001537736,0.000277794,0.000459943,22350,107797.402,183278.579,28.4706568,42812.37,3,10,6.6,9.75,14.066,45.87,40.063,17.2,3.4,1.529,0.27,1,25.6,19.5,12.8,0.024946765143411105,0.00886,0.008746707644994047,0.1287574975143799,0.12720218325915125,45.72944840521276,0.00567,0.005597498007575197,0.00371,0.003662560424709697,0.00136,0.0013426097513760614,0.0013,0.0012833769682271175,0.00016,0.0001579540883971837,0.00035,0.00034552456836883935
3,107763.627,183318.268,0.0011589296776322179,0.0003189771798012363,-2.9553281854312902e-05,27.2089568,34842.93,0.000772866,0.000874463,0.000412421,0.000257145,0.000194627,0.00012554,19352,107763.816,183318.112,27.3446688,42491.37,4,10,6.33,5.8,11.237,47.195,41.568,12.8,2.6,1.636,0.26113,13,24.2,14.0,5.6,0.013138134568614724,0.00232,0.002357506514538913,0.10510507654891779,0.10683727306405863,38.40822100028706,0.00062,0.0006300232926785026,0.00071,0.000721478286776995,0.00031,0.0003150116463392513,0.00015,0.00015242499016415384,0.00011,0.00011177832612037951,8e-05,8.129332808754873e-05
4,107722.801,183309.348,0.005349913216479369,0.0007506557604223766,-0.0012724655283540402,26.679,32930.91,0.003628742,0.003888099,0.000545835,0.000936779,0.000168783,0.00017979,1556,107723.005,183309.182,26.586,40592.63,5,10,6.6,16.57,26.081,39.904,34.015,23.0,4.6,1.524,0.28979,9,24.2,20.3,16.8,0.02900479844691781,0.01138,0.011563975920453806,0.1423548390032776,0.14470093458811026,52.02028575996948,0.0032,0.0032517331235019493,0.00343,0.0034854514417536515,0.00043,0.0004369516384705744,0.00077,0.0007824482828426565,0.0001,0.00010161666010943591,0.00011,0.00011177832612037951
5,107742.964,183330.078,0.002556965112850516,0.0005159141700338825,-0.00041469818383242717,26.55,34219.71,0.001886274,0.001719562,0.000488448,0.000524158,0.000175903,0.000135621,14669,107742.651,183330.207,26.664,41906.95,6,10,6.5,9.941,15.97,45.215,38.815,16.8,3.4,1.626,0.30258,16,24.6,23.8,15.5,0.03032204272878833,0.01221,0.012304497345166076,0.12251330395470031,0.12351616540819775,44.404317351507004,0.00162,0.0016325377312996756,0.00147,0.0014813768302534094,0.00038,0.0003829409493172079,0.00041,0.00041317312952646114,0.0001,0.00010077393403084418,8e-05,8.061914722467536e-05
6,107805.582,183274.029,0.007241234337011779,0.0018962884690795088,-0.0009838007193112585,28.65,35219.35,0.006515042,0.003785414,0.00175978,0.001533685,0.000292845,0.000464068,23383,107805.822,183273.987,28.65,42915.67,7,10,6.56,9.868,15.173,44.224,40.602,17.8,3.6,1.643,0.23186,2,26.2,15.0,9.4,0.01872077011101166,0.00504,0.004915309017009139,0.13615105535281205,0.13289336194053908,47.775438931532186,0.00586,0.005715021991998721,0.00334,0.003257367483494152,0.0015,0.0014628895883955773,0.0013,0.0012678376432761669,0.00016,0.00015604155609552823,0.00036,0.00035109350121493855
7,107758.569,183312.798,0.0016666568800038815,0.00041602809082456644,-0.00015410568325365225,27.35,34485.9,0.001158334,0.001169132,0.000462501,0.000379428,0.000194122,0.000156824,15706,107758.685,183312.601,27.35,42107.27,8,10,7.23,6.785,12.324,45.037,42.639,15.5,3.1,1.602,0.25825,405,21.9,16.7,8.8,0.018851409065389353,0.00512,0.005463759393683271,0.11874903348276758,0.12663707708633437,45.526291565360026,0.00097,0.001035126291381401,0.00098,0.0010457976964471886,0.00036,0.000384170582368355,0.00029,0.0003094707469078415,0.00011,0.00011738545572366402,9e-05,9.604264559208875e-05
8,107776.575,183310.642,0.0037915712503592235,0.0010399396391477962,-0.00042754395480627176,26.9900192,35105.74,0.003380486,0.002008791,0.000996457,0.000841031,0.000227769,0.000278477,22198,107776.692,183310.756,27.5510368,42797.16,9,10,6.56,6.147,11.631,49.871,38.498,12.5,2.5,1.575,0.25897,11,23.9,16.3,7.3,0.016559194475144978,0.00384,0.003926669024294486,0.1077020778871218,0.11015498655929974,39.60094587510159,0.00297,0.003037033073477767,0.00173,0.001769046201049339,0.00082,0.0008385074478962185,0.00068,0.0006953476397188154,0.00013,0.00013293410759330292,0.00016,0.00016361120934560363
9,107726.042,183318.485,0.006342141029281096,0.0009838335229000474,-0.0014586744904037377,26.6481,33298.53,0.004525772,0.004375727,0.000733495,0.001165576,0.000174871,0.00021127,5128,107726.371,183318.719,26.563,40950.86,10,10,6.56,15.774,25.914,38.833,35.253,25.9,5.2,1.635,0.27443,24,23.3,20.8,18.1,0.03035432992037498,0.01223,0.012665313537507602,0.1445444281922618,0.14968392458623764,53.81168098750905,0.00402,0.004163087524184838,0.00388,0.0040181043765764105,0.00059,0.0006110004077783717,0.00098,0.0010148820332589901,0.0001,0.00010355939114887656,0.00012,0.00012427126937865186
10,107720.422,183327.165,0.004345693701285898,0.0006606259098655849,-0.0009665485859047372,26.201,33302.5,0.002980847,0.003123477,0.000545345,0.000792917,0.000168409,0.000142565,5166,107720.118,183326.96,26.1909152,40954.67,1,50,6.86,28.088,54.928,34.73,10.343,0.0,0.0,1.492,0.40361,20,25.4,56.8,89.9,0.09991773308862842,0.0635,0.06294483863397633,0.15139050467974002,0.15016740731779626,53.98549403113093,0.00261,0.0025871815564516257,0.00274,0.0027160450056235453,0.00043,0.0004262406395686586,0.00064,0.0006344046728463757,0.0001,9.912573013224619e-05,9e-05,8.921315711902158e-05
11,107755.083,183330.802,0.0021370632848871445,0.0005001631965760404,-0.0002829041563918339,26.8553312,34836.56,0.001538629,0.001414996,0.000519714,0.000502037,0.000175211,0.000148286,19244,107755.589,183331.1,26.8951584,42473.18,2,50,6.77,7.12,14.82,52.238,32.942,0.0,0.0,1.77,0.25845,15,23.0,20.6,12.8,0.025590945481543604,0.00926,0.00965091958045776,0.1233298577423788,0.12851538799581336,46.201548228596494,0.0013,0.0013548807186387786,0.00119,0.0012402369655231896,0.0004,0.00041688637496577804,0.00039,0.00040646421559163357,0.0001,0.00010422159374144451,9e-05,9.379943436730006e-05
12,107797.24,183278.473,0.0074294473677364884,0.0017773595166572936,-0.001169214555932497,27.9487712,35121.56,0.006310485,0.004189612,0.001598737,0.001537736,0.000277794,0.000459943,22350,107797.402,183278.579,28.4706568,42812.37,3,50,7.37,21.549,37.307,28.79,33.903,0.0,0.0,1.248,0.47371,3,26.4,60.9,97.8,0.10748150836195498,0.06989,0.06788655779169468,0.15111635622067485,0.14691137089368703,52.81494219116411,0.00567,0.005507465770194718,0.00371,0.003603650442226174,0.00136,0.001321014717365929,0.0013,0.0012627346563056673,0.00016,0.00015541349616069754,0.00035,0.00033996702285152584
13,107763.627,183318.268,0.0011589296776322179,0.0003189771798012363,-2.9553281854312902e-05,27.2089568,34842.93,0.000772866,0.000874463,0.000412421,0.000257145,0.000194627,0.00012554,19352,107763.816,183318.112,27.3446688,42491.37,4,50,6.79,6.41,14.739,45.399,39.861,0.0,0.0,1.742,0.23969,10,24.4,21.5,14.4,0.027794978418854376,0.01063,0.010756893042630332,0.12706275848619145,0.12862809215380297,46.24206560688189,0.00062,0.0006274010993820137,0.00071,0.0007184754525181125,0.00031,0.00031370054969100683,0.00015,0.0001517905885601646,0.00011,0.00011131309827745406,8e-05,8.095498056542114e-05
14,107722.801,183309.348,0.005349913216479369,0.0007506557604223766,-0.0012724655283540402,26.679,32930.91,0.003628742,0.003888099,0.000545835,0.000936779,0.000168783,0.00017979,1556,107723.005,183309.182,26.586,40592.63,5,50,7.13,32.962,60.946,33.328,5.725,0.0,0.0,1.291,0.46804,7,25.4,51.0,67.1,0.08565845889528177,0.05172,0.05126782762439773,0.14580163216218175,0.14462368779874954,51.99251537916287,0.0032,0.003172023364231878,0.00343,0.0034000125435360443,0.00043,0.0004262406395686586,0.00077,0.0007632681220182956,0.0001,9.912573013224619e-05,0.00011,0.00010903830314547081
15,107742.964,183330.078,0.002556965112850516,0.0005159141700338825,-0.00041469818383242717,26.55,34219.71,0.001886274,0.001719562,0.000488448,0.000524158,0.000175903,0.000135621,14669,107742.651,183330.207,26.664,41906.95,6,50,6.99,14.162,26.589,43.811,29.6,0.0,0.0,1.379,0.45196,18,23.7,43.8,61.1,0.07472348859727368,0.04302,0.04417633474339641,0.15019796702969584,0.15425430498820983,55.45474221043147,0.00162,0.0016635439861530028,0.00147,0.0015095121355832802,0.00038,0.00039021402144329696,0.00041,0.00042102039155724147,0.0001,0.00010268790037981499,8e-05,8.2150320303852e-05
16,107805.582,183274.029,0.007241234337011779,0.0018962884690795088,-0.0009838007193112585,28.65,35219.35,0.006515042,0.003785414,0.00175978,0.001533685,0.000292845,0.000464068,23383,107805.822,183273.987,28.65,42915.67,7,50,7.32,7.422,14.696,28.668,56.637,0.0,0.0,1.691,0.2201,12,27.5,18.1,15.9,0.026516602107744352,0.00984,0.009350562381295367,0.15044880628507432,0.14310099199919166,51.445103084667466,0.00586,0.0055685259709746795,0.00334,0.003173869751374647,0.0015,0.0014253906069047815,0.0013,0.001235338525984144,0.00016,0.00015204166473651006,0.00036,0.0003420937456571476
17,107758.569,183312.798,0.0016666568800038815,0.00041602809082456644,-0.00015410568325365225,27.35,34485.9,0.001158334,0.001169132,0.000462501,0.000379428,0.000194122,0.000156824,15706,107758.685,183312.601,27.35,42107.27,8,50,6.33,7.612,16.873,46.152,36.975,0.0,0.0,1.876,0.15773,423,22.4,12.7,9.4,0.017251434507493765,0.00421,0.0044444310396269966,0.15863388052867833,0.1673949569997102,60.17883383192909,0.00097,0.0010240138024793794,0.00098,0.001034570645803909,0.00036,0.00038004635968306863,0.00029,0.0003061484564113608,0.00011,0.00011612527656982652,9e-05,9.501158992076716e-05
18,107776.575,183310.642,0.0037915712503592235,0.0010399396391477962,-0.00042754395480627176,26.9900192,35105.74,0.003380486,0.002008791,0.000996457,0.000841031,0.000227769,0.000278477,22198,107776.692,183310.756,27.5510368,42797.16,9,50,7.24,8.751,18.018,45.765,36.217,0.0,0.0,1.78,0.30722,4,23.9,16.3,15.6,0.0246960924542596,0.00871,0.008906585208751297,0.16062499157242016,0.16428321658094258,59.060156704819235,0.00297,0.003037033073477767,0.00173,0.001769046201049339,0.00082,0.0008385074478962185,0.00068,0.0006953476397188154,0.00013,0.00013293410759330292,0.00016,0.00016361120934560363
19,107726.042,183318.485,0.006342141029281096,0.0009838335229000474,-0.0014586744904037377,26.6481,33298.53,0.004525772,0.004375727,0.000733495,0.001165576,0.000174871,0.00021127,5128,107726.371,183318.719,26.563,40950.86,10,50,7.19,33.2,64.061,30.681,5.259,0.0,0.0,1.24,0.48412,23,23.7,58.6,79.3,0.09917697407186195,0.06288,0.06457015175882767,0.14531424772433985,0.14923869297891912,53.65161930229598,0.00402,0.004128053595268562,0.00388,0.003984290534736821,0.00059,0.0006058586122409085,0.00098,0.001006341423722187,0.0001,0.00010268790037981499,0.00012,0.000123225480455778
20,107765.719,183326.718,0.001488839407572428,0.00043926583144926874,-6.795377320767507e-05,26.6479608,35158.36,0.001187756,0.000922597,0.000493874,0.000355606,0.000190083,0.000146468,22744,107766.469,183327.314,27.1795488,42851.76,11,50,6.75,4.891,12.692,54.808,32.5,0.0,0.0,1.681,0.21031,8,23.7,21.3,12.2,0.025273329487892054,0.00906,0.009303523774411238,0.11687088780528117,0.12002717432383346,43.150017828568544,0.001,0.00102687900379815,0.00076,0.0007804280428865939,0.00038,0.00039021402144329696,0.00027,0.00027725733102550046,0.00011,0.0001129566904177965,9e-05,9.24191103418335e-05
21,107776.924,183299.388,0.004282113252355976,0.0012130585072801015,-0.00046483023849197585,27.65,34851.56,0.003888067,0.002187786,0.001187434,0.000968702,0.000238522,0.000304697,19443,107777.021,183299.37,27.85,42500.46,12,50,7.24,8.064,16.931,50.535,32.534,0.0,0.0,1.898,0.16165,415,23.0,21.8,21.0,0.03310994624624087,0.01395,0.014538912326931509,0.14880874717411624,0.15506556344369274,55.74639130585397,0.00343,0.0035748006653315463,0.00189,0.001969788121713301,0.00099,0.0010317937780403006,0.0008,0.0008337727499315561,0.00014,0.0001459102312380223,0.00017,0.00017717670936045568
22,107752.723,183299.072,0.004825819552916726,0.0009095434383688378,-0.0009705329813979456,26.5620769,33749.13,0.003549386,0.003156172,0.000736195,0.000999247,0.0001834,0.000247109,9680,107752.33,183298.809,27.45,41407.83,13,50,7.34,19.254,32.385,27.489,40.126,0.0,0.0,1.382,0.40536,470,23.7,30.8,38.6,0.05102676438816131,0.02565,0.026339446447422542,0.1523186996661532,0.15643231142446115,56.23774003641895,0.00312,0.0032038624918502277,0.00277,0.0028444548405208753,0.00059,0.0006058586122409085,0.00082,0.0008420407831144829,0.00011,0.0001129566904177965,0.00014,0.00014376306053174098
23,107732.312,183327.436,0.004334610270333244,0.0009611529697356902,-0.0007176669078425297,25.681,33762.93,0.003505548,0.002604719,0.000873725,0.000900401,0.000191826,0.000229494,9811,107732.66,183327.436,26.5541536,41420.95,14,50,6.92,7.14,12.707,11.525,75.767,0.0,0.0,1.628,0.14206,17,25.1,18.2,16.1,0.026739038191895485,0.00998,0.009953857534108938,0.15064246868673514,0.15033671360213308,54.046359991100225,0.00308,0.003071931984474502,0.00227,0.0022640537677782856,0.00071,0.0007081401652522391,0.00074,0.0007380615806854323,0.00011,0.00010971185658837508,0.00013,0.00012965946687717054
